id,sku,name,description,current_price,current_stock,status,creation_date,last_update
34,OFI-LOG-00034-J567,Logitech Trituradora de papel Select J567 10 hojas,"Trituradora de papel Logitech, modelo J567, versión 10 hojas, acabado gris; característica principal: papel y tarjetas. Producto para uso doméstico, académico o profesional según la categoría.",5220,25,1,26/11/2023 01:13,20/05/2025 17:25
35,MOV-SAM-00035-P707,Samsung Smartwatch Ultra P707 Active,"Smartwatch Samsung, modelo P707, versión Active, acabado azul; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",26409.9,70,1,08/02/2024 10:03,13/01/2025 18:49
36,ALM-CRU-00036-R617,Crucial Memoria USB Select R617 64 GB,"Memoria USB Crucial, modelo R617, versión 64 GB, acabado blanco; característica principal: alta velocidad. Producto para uso doméstico, académico o profesional según la categoría.",6500,62,1,26/08/2023 18:27,23/11/2023 16:34
37,HOG-WHI-00037-Y148,Whirlpool Licuadora Advance Y148 1.5 L,"Licuadora Whirlpool, modelo Y148, versión 1.5 L, acabado plata; característica principal: acero inoxidable. Producto para uso doméstico, académico o profesional según la categoría.",2349.9,1,1,24/04/2025 15:41,24/03/2026 07:14
38,MOV-MOT-00038-K248,Motorola Smartphone Advance K248 256 GB,"Smartphone Motorola, modelo K248, versión 256 GB, acabado azul; característica principal: 5G. Producto para uso doméstico, académico o profesional según la categoría.",21099.9,71,1,08/10/2023 06:07,28/11/2024 09:24
39,OFI-FEL-00039-M953,Fellowes Trituradora de papel Prime M953 8 hojas,"Trituradora de papel Fellowes, modelo M953, versión 8 hojas, acabado gris; característica principal: corte cruzado. Producto para uso doméstico, académico o profesional según la categoría.",5290,49,1,01/06/2025 18:38,12/04/2026 07:00
40,MOV-OPP-00040-B189,OPPO Batería portátil Prime B189 20000 mAh,"Batería portátil OPPO, modelo B189, versión 20000 mAh, acabado blanco; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",22559.9,26,1,09/06/2023 17:47,25/07/2026 01:46
41,AUD-ANK-00041-U338,Anker Barra de sonido Connect U338 3.1,"Barra de sonido Anker, modelo U338, versión 3.1, acabado azul; característica principal: Dolby Audio. Producto para uso doméstico, académico o profesional según la categoría.",1379.9,30,1,27/07/2022 09:22,22/05/2025 21:49
42,ELE-XIA-00042-M221,Xiaomi Tablet Ultra M221 8,"Tablet Xiaomi, modelo M221, versión 8, acabado gris; característica principal: Wi-Fi + LTE. Producto para uso doméstico, académico o profesional según la categoría.",28609.9,42,1,12/06/2026 06:51,24/08/2026 02:59
43,AUD-LOG-00043-Z818,Logitech Bocina portátil Max Z818 Plus,"Bocina portátil Logitech, modelo Z818, versión Plus, acabado gris; característica principal: Stereo. Producto para uso doméstico, académico o profesional según la categoría.",3890,59,1,14/10/2022 15:31,25/04/2025 02:26
44,ACC-UGR-00044-W829,UGREEN Hub USB-C Select W829 9 en 1,"Hub USB-C UGREEN, modelo W829, versión 9 en 1, acabado blanco; característica principal: HDMI. Producto para uso doméstico, académico o profesional según la categoría.",1420,2,1,27/02/2024 21:15,28/10/2025 07:35
45,ENE-KOB-00045-U317,Koblenz No-break UPS Pro U317 1000 VA,"No-break UPS Koblenz, modelo U317, versión 1000 VA, acabado azul; característica principal: regulador AVR. Producto para uso doméstico, académico o profesional según la categoría.",6260,30,1,06/05/2025 14:13,16/09/2026 13:46
46,MOV-XIA-00046-S504,Xiaomi Batería portátil Plus S504 25000 mAh,"Batería portátil Xiaomi, modelo S504, versión 25000 mAh, acabado plata; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",7689.9,101,1,19/02/2023 08:54,23/08/2025 19:46
47,ACC-BEL-00047-C760,Belkin Hub USB-C Smart C760 7 en 1,"Hub USB-C Belkin, modelo C760, versión 7 en 1, acabado gris; característica principal: HDMI. Producto para uso doméstico, académico o profesional según la categoría.",1009.9,48,1,02/07/2021 08:51,23/10/2022 15:31
48,ACC-UGR-00048-R215,UGREEN Cargador USB-C Pro R215 30 W,"Cargador USB-C UGREEN, modelo R215, versión 30 W, acabado blanco; característica principal: GaN. Producto para uso doméstico, académico o profesional según la categoría.",1379.9,55,1,26/02/2024 08:48,23/05/2024 03:15
49,MOV-HUA-00049-N794,Huawei Smartwatch Pro N794 Fit,"Smartwatch Huawei, modelo N794, versión Fit, acabado blanco; característica principal: monitor de actividad. Producto para uso doméstico, académico o profesional según la categoría.",21690,76,1,02/02/2021 14:44,25/02/2025 18:35
50,ALM-CRU-00050-U437,Crucial Memoria USB Prime U437 128 GB,"Memoria USB Crucial, modelo U437, versión 128 GB, acabado azul; característica principal: alta velocidad. Producto para uso doméstico, académico o profesional según la categoría.",3180,17,1,22/06/2021 03:42,09/01/2023 02:23
51,MOV-REA-00051-K591,realme Smartwatch Max K591 Fit,"Smartwatch realme, modelo K591, versión Fit, acabado azul; característica principal: monitor de actividad. Producto para uso doméstico, académico o profesional según la categoría.",13599.9,61,1,29/01/2024 13:40,11/04/2025 06:05
52,HOG-WHI-00052-Y989,Whirlpool Aspiradora Plus Y989 Cyclone,"Aspiradora Whirlpool, modelo Y989, versión Cyclone, acabado negro; característica principal: sin bolsa. Producto para uso doméstico, académico o profesional según la categoría.",4899.9,16,1,23/03/2022 04:29,05/04/2024 08:31
53,ENE-DUR-00053-A668,Duracell Regulador de voltaje Prime A668 1000 VA,"Regulador de voltaje Duracell, modelo A668, versión 1000 VA, acabado gris; característica principal: supresor de picos. Producto para uso doméstico, académico o profesional según la categoría.",9230,4,1,05/05/2026 09:44,02/07/2026 11:18
54,GAM-STE-00054-T580,SteelSeries Headset gaming Essential T580 Core,"Headset gaming SteelSeries, modelo T580, versión Core, acabado plata; característica principal: RGB. Producto para uso doméstico, académico o profesional según la categoría.",6050,70,1,20/11/2024 22:30,24/07/2025 22:20
55,ACC-ANK-00055-X780,Anker Cargador USB-C Plus X780 30 W,"Cargador USB-C Anker, modelo X780, versión 30 W, acabado plata; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",3960,0,0,19/02/2024 22:04,04/12/2025 16:42
56,ACC-BEL-00056-V633,Belkin Cargador USB-C Essential V633 100 W,"Cargador USB-C Belkin, modelo V633, versión 100 W, acabado blanco; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",3140,56,1,16/07/2025 09:45,21/02/2026 21:15
57,AUD-XIA-00057-S294,Xiaomi Bocina portátil Advance S294 Go,"Bocina portátil Xiaomi, modelo S294, versión Go, acabado negro; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",1819.9,32,1,20/10/2021 11:09,28/10/2024 03:48
58,MOV-XIA-00058-W443,Xiaomi Smartphone Max W443 256 GB,"Smartphone Xiaomi, modelo W443, versión 256 GB, acabado gris; característica principal: 5G. Producto para uso doméstico, académico o profesional según la categoría.",7980,51,1,14/06/2022 05:46,03/12/2024 09:55
59,HOG-KOB-00059-B968,Koblenz Aspiradora Essential B968 Power,"Aspiradora Koblenz, modelo B968, versión Power, acabado negro; característica principal: filtro HEPA. Producto para uso doméstico, académico o profesional según la categoría.",5909.9,36,1,21/05/2022 13:07,23/10/2023 08:09
60,ALM-WES-00060-H662,Western Digital Unidad SSD Select H662 500 GB,"Unidad SSD Western Digital, modelo H662, versión 500 GB, acabado blanco; característica principal: NVMe PCIe 4.0. Producto para uso doméstico, académico o profesional según la categoría.",5250,0,1,12/03/2023 00:04,26/12/2024 08:33
61,AUD-BOS-00061-U648,Bose Barra de sonido Essential U648 2.0,"Barra de sonido Bose, modelo U648, versión 2.0, acabado blanco; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",8540,43,1,09/03/2026 05:47,26/05/2026 12:40
62,ELE-ASU-00062-X669,ASUS Tablet Max X669 11,"Tablet ASUS, modelo X669, versión 11, acabado gris; característica principal: Wi-Fi + LTE. Producto para uso doméstico, académico o profesional según la categoría.",15480,38,1,03/09/2024 18:37,28/08/2026 05:28
63,ELE-SAM-00063-E650,Samsung Laptop Connect E650 14,"Laptop Samsung, modelo E650, versión 14, acabado negro; característica principal: AMD Ryzen 5. Producto para uso doméstico, académico o profesional según la categoría.",27479.9,35,1,14/08/2025 02:14,26/09/2025 06:47
64,ACC-LOG-00064-V388,Logitech Hub USB-C Pro V388 5 en 1,"Hub USB-C Logitech, modelo V388, versión 5 en 1, acabado plata; característica principal: Power Delivery. Producto para uso doméstico, académico o profesional según la categoría.",1190,0,1,02/04/2025 22:35,12/10/2025 21:48
65,ELE-LG-00065-Y304,LG Monitor LED Ultra Y304 24,"Monitor LED LG, modelo Y304, versión 24, acabado plata; característica principal: 4K UHD. Producto para uso doméstico, académico o profesional según la categoría.",15110,15,1,06/06/2025 05:24,21/07/2026 20:10
66,ELE-SAM-00066-G552,Samsung Laptop Connect G552 14,"Laptop Samsung, modelo G552, versión 14, acabado blanco; característica principal: Intel Core i5. Producto para uso doméstico, académico o profesional según la categoría.",10490,84,1,12/01/2025 08:03,13/10/2025 19:40
67,HOG-MAB-00067-A481,Mabe Licuadora Pro A481 2 L,"Licuadora Mabe, modelo A481, versión 2 L, acabado azul; característica principal: alta potencia. Producto para uso doméstico, académico o profesional según la categoría.",7179.9,65,1,08/03/2024 00:31,07/04/2026 02:18
68,RED-NET-00068-A931,Netgear Punto de acceso Select A931 Pro,"Punto de acceso Netgear, modelo A931, versión Pro, acabado gris; característica principal: doble banda. Producto para uso doméstico, académico o profesional según la categoría.",7529.9,23,1,03/11/2025 03:34,07/08/2026 21:25
69,GAM-LOG-00069-P447,Logitech G Mouse gaming Connect P447 Pro,"Mouse gaming Logitech G, modelo P447, versión Pro, acabado plata; característica principal: botones programables. Producto para uso doméstico, académico o profesional según la categoría.",2529.9,50,1,08/03/2024 22:01,25/07/2024 00:52
70,MOV-OPP-00070-L421,OPPO Smartwatch Advance L421 Active,"Smartwatch OPPO, modelo L421, versión Active, acabado negro; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",2660,35,1,30/03/2024 16:03,24/06/2024 18:57
71,ELE-ACE-00071-M215,Acer Monitor LED Connect M215 27,"Monitor LED Acer, modelo M215, versión 27, acabado gris; característica principal: Full HD. Producto para uso doméstico, académico o profesional según la categoría.",10760,75,1,23/09/2025 14:15,29/10/2025 05:38
72,ALM-ADA-00072-N511,ADATA Unidad SSD Pro N511 2 TB,"Unidad SSD ADATA, modelo N511, versión 2 TB, acabado plata; característica principal: SATA III. Producto para uso doméstico, académico o profesional según la categoría.",3039.9,62,1,13/03/2026 09:00,27/08/2026 01:42
73,ACC-BAS-00073-M140,Baseus Hub USB-C Prime M140 5 en 1,"Hub USB-C Baseus, modelo M140, versión 5 en 1, acabado azul; característica principal: HDMI. Producto para uso doméstico, académico o profesional según la categoría.",4049.9,0,1,27/04/2026 00:54,07/06/2026 22:48
74,ACC-UGR-00074-N297,UGREEN Hub USB-C Essential N297 5 en 1,"Hub USB-C UGREEN, modelo N297, versión 5 en 1, acabado negro; característica principal: USB 3.0. Producto para uso doméstico, académico o profesional según la categoría.",509.9,3,1,22/01/2022 21:05,10/03/2022 11:15
75,ACC-UGR-00075-Y485,UGREEN Cable USB-C Pro Y485 1 m,"Cable USB-C UGREEN, modelo Y485, versión 1 m, acabado negro; característica principal: carga rápida. Producto para uso doméstico, académico o profesional según la categoría.",869.9,72,1,19/03/2022 18:47,03/11/2022 18:35
76,OFI-FEL-00076-S153,Fellowes Trituradora de papel Prime S153 8 hojas,"Trituradora de papel Fellowes, modelo S153, versión 8 hojas, acabado gris; característica principal: corte cruzado. Producto para uso doméstico, académico o profesional según la categoría.",8620,50,1,03/09/2025 15:07,17/12/2025 09:36
77,ACC-BAS-00077-V942,Baseus Cable USB-C Essential V942 1 m,"Cable USB-C Baseus, modelo V942, versión 1 m, acabado plata; característica principal: trenzado. Producto para uso doméstico, académico o profesional según la categoría.",2060,72,1,24/11/2024 11:45,16/08/2025 16:09
78,ELE-SAM-00078-S653,Samsung Smart TV Essential S653 50,"Smart TV Samsung, modelo S653, versión 50, acabado gris; característica principal: LED. Producto para uso doméstico, académico o profesional según la categoría.",20530,0,0,30/06/2021 05:42,24/06/2023 00:41
79,ENE-CYB-00079-J202,CyberPower No-break UPS Select J202 1500 VA,"No-break UPS CyberPower, modelo J202, versión 1500 VA, acabado negro; característica principal: regulador AVR. Producto para uso doméstico, académico o profesional según la categoría.",4010,13,1,06/06/2024 20:52,09/08/2025 00:54
80,ELE-HP-00080-F642,HP Tablet Pro F642 10.1,"Tablet HP, modelo F642, versión 10.1, acabado gris; característica principal: Wi-Fi + LTE. Producto para uso doméstico, académico o profesional según la categoría.",17080,1,1,17/09/2025 12:53,24/07/2026 13:55
81,ALM-SAM-00081-R216,Samsung Disco duro externo Prime R216 4 TB,"Disco duro externo Samsung, modelo R216, versión 4 TB, acabado gris; característica principal: USB 3.0. Producto para uso doméstico, académico o profesional según la categoría.",1459.9,37,1,02/06/2022 23:51,11/01/2023 15:50
82,ELE-DEL-00082-Q440,Dell Laptop Ultra Q440 16,"Laptop Dell, modelo Q440, versión 16, acabado blanco; característica principal: Intel Core i5. Producto para uso doméstico, académico o profesional según la categoría.",25040,42,1,25/09/2023 12:17,23/05/2026 15:26
83,AUD-PHI-00083-T747,Philips Audífonos inalámbricos Advance T747 Lite,"Audífonos inalámbricos Philips, modelo T747, versión Lite, acabado azul; característica principal: ANC. Producto para uso doméstico, académico o profesional según la categoría.",8709.9,0,0,04/07/2023 00:38,19/03/2024 15:10
84,MOV-HUA-00084-R330,Huawei Batería portátil Essential R330 25000 mAh,"Batería portátil Huawei, modelo R330, versión 25000 mAh, acabado negro; característica principal: indicador digital. Producto para uso doméstico, académico o profesional según la categoría.",18350,57,1,22/12/2025 11:24,01/02/2026 05:55
85,OFI-HP-00085-G256,HP Impresora multifuncional Ultra G256 Eco,"Impresora multifuncional HP, modelo G256, versión Eco, acabado plata; característica principal: Wi-Fi. Producto para uso doméstico, académico o profesional según la categoría.",5959.9,121,1,17/12/2024 23:35,01/03/2026 23:32
86,GAM-STE-00086-Y618,SteelSeries Teclado mecánico Connect Y618 TKL,"Teclado mecánico SteelSeries, modelo Y618, versión TKL, acabado gris; característica principal: switch mecánico. Producto para uso doméstico, académico o profesional según la categoría.",1000,55,1,28/03/2024 12:38,31/12/2024 23:01
87,ACC-UGR-00087-Q229,UGREEN Webcam Advance Q229 1080p,"Webcam UGREEN, modelo Q229, versión 1080p, acabado negro; característica principal: micrófono integrado. Producto para uso doméstico, académico o profesional según la categoría.",770,0,1,10/11/2025 14:13,08/09/2026 00:02
88,AUD-BOS-00088-F516,Bose Barra de sonido Plus F516 2.0,"Barra de sonido Bose, modelo F516, versión 2.0, acabado negro; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",4189.9,81,1,08/09/2023 00:50,17/02/2026 14:06
89,RED-NET-00089-Q213,Netgear Punto de acceso Connect Q213 Pro,"Punto de acceso Netgear, modelo Q213, versión Pro, acabado plata; característica principal: PoE. Producto para uso doméstico, académico o profesional según la categoría.",4919.9,36,1,03/06/2026 20:15,18/08/2026 12:33
90,AUD-BOS-00090-C728,Bose Bocina portátil Ultra C728 Plus,"Bocina portátil Bose, modelo C728, versión Plus, acabado plata; característica principal: Bluetooth. Producto para uso doméstico, académico o profesional según la categoría.",8670,62,1,22/01/2026 03:41,07/09/2026 05:55
91,ENE-TRI-00091-S242,Tripp Lite No-break UPS Ultra S242 1500 VA,"No-break UPS Tripp Lite, modelo S242, versión 1500 VA, acabado plata; característica principal: regulador AVR. Producto para uso doméstico, académico o profesional según la categoría.",6589.9,67,1,08/03/2022 09:30,28/03/2022 03:19
92,ACC-XIA-00092-Z558,Xiaomi Webcam Smart Z558 1080p,"Webcam Xiaomi, modelo Z558, versión 1080p, acabado gris; característica principal: USB. Producto para uso doméstico, académico o profesional según la categoría.",3129.9,79,1,24/03/2022 10:18,05/12/2023 01:57
93,HOG-HAM-00093-Y497,Hamilton Beach Licuadora Advance Y497 2 L,"Licuadora Hamilton Beach, modelo Y497, versión 2 L, acabado azul; característica principal: acero inoxidable. Producto para uso doméstico, académico o profesional según la categoría.",7579.9,39,1,12/05/2022 11:09,01/09/2023 08:18
94,ENE-KOB-00094-L375,Koblenz Regulador de voltaje Pro L375 1000 VA,"Regulador de voltaje Koblenz, modelo L375, versión 1000 VA, acabado blanco; característica principal: supresor de picos. Producto para uso doméstico, académico o profesional según la categoría.",4349.9,40,1,25/06/2021 23:14,01/04/2024 12:05
95,ENE-APC-00095-J320,APC Regulador de voltaje Select J320 600 VA,"Regulador de voltaje APC, modelo J320, versión 600 VA, acabado gris; característica principal: supresor de picos. Producto para uso doméstico, académico o profesional según la categoría.",2879.9,34,1,03/11/2025 14:11,17/09/2026 00:24
96,MOV-OPP-00096-A272,OPPO Smartwatch Ultra A272 Fit,"Smartwatch OPPO, modelo A272, versión Fit, acabado blanco; característica principal: monitor de actividad. Producto para uso doméstico, académico o profesional según la categoría.",9420,57,1,30/05/2025 13:25,03/09/2026 08:43
97,AUD-LOG-00097-U636,Logitech Audífonos inalámbricos Connect U636 Lite,"Audífonos inalámbricos Logitech, modelo U636, versión Lite, acabado blanco; característica principal: Hi-Res Audio. Producto para uso doméstico, académico o profesional según la categoría.",7330,4,1,07/02/2024 06:14,03/10/2025 03:47
98,ENE-DUR-00098-V291,Duracell Multicontacto Advance V291 6 salidas,"Multicontacto Duracell, modelo V291, versión 6 salidas, acabado gris; característica principal: interruptor. Producto para uso doméstico, académico o profesional según la categoría.",250,0,1,24/11/2025 01:29,12/09/2026 05:53
99,ELE-SON-00099-U251,Sony Tablet Essential U251 10.1,"Tablet Sony, modelo U251, versión 10.1, acabado gris; característica principal: Wi-Fi. Producto para uso doméstico, académico o profesional según la categoría.",27500,56,1,02/09/2022 08:41,26/09/2023 06:34
100,GAM-ASU-00100-U743,ASUS ROG Teclado mecánico Prime U743 Full Size,"Teclado mecánico ASUS ROG, modelo U743, versión Full Size, acabado plata; característica principal: RGB. Producto para uso doméstico, académico o profesional según la categoría.",1450,129,1,08/10/2024 15:13,11/02/2025 19:18
101,AUD-PHI-00101-S891,Philips Audífonos inalámbricos Select S891 Plus,"Audífonos inalámbricos Philips, modelo S891, versión Plus, acabado negro; característica principal: ANC. Producto para uso doméstico, académico o profesional según la categoría.",7759.9,64,1,17/03/2025 05:46,17/05/2026 01:18
102,ACC-ANK-00102-B459,Anker Cable USB-C Advance B459 2 m,"Cable USB-C Anker, modelo B459, versión 2 m, acabado plata; característica principal: datos. Producto para uso doméstico, académico o profesional según la categoría.",639.9,39,1,05/09/2023 20:32,29/12/2024 05:50
103,OFI-CAN-00103-S701,Canon Impresora multifuncional Max S701 Office,"Impresora multifuncional Canon, modelo S701, versión Office, acabado plata; característica principal: dúplex. Producto para uso doméstico, académico o profesional según la categoría.",9669.9,54,1,21/09/2022 10:15,06/07/2024 10:17
104,GAM-MSI-00104-M649,MSI Headset gaming Smart M649 Wireless,"Headset gaming MSI, modelo M649, versión Wireless, acabado gris; característica principal: 7.1 virtual. Producto para uso doméstico, académico o profesional según la categoría.",1689.9,0,1,06/10/2024 05:19,26/05/2025 13:04
105,RED-UBI-00105-Y592,Ubiquiti Router Wi-Fi Advance Y592 AC1200,"Router Wi-Fi Ubiquiti, modelo Y592, versión AC1200, acabado blanco; característica principal: Gigabit. Producto para uso doméstico, académico o profesional según la categoría.",2550,52,1,21/05/2022 19:35,23/08/2024 00:57
106,AUD-LOG-00106-R703,Logitech Bocina portátil Advance R703 Go,"Bocina portátil Logitech, modelo R703, versión Go, acabado negro; característica principal: Stereo. Producto para uso doméstico, académico o profesional según la categoría.",4309.9,36,1,22/07/2025 14:19,22/12/2025 15:02
107,ACC-XIA-00107-D359,Xiaomi Hub USB-C Ultra D359 9 en 1,"Hub USB-C Xiaomi, modelo D359, versión 9 en 1, acabado plata; característica principal: USB 3.0. Producto para uso doméstico, académico o profesional según la categoría.",3860,85,1,29/04/2022 22:29,17/05/2026 04:09
108,ALM-WES-00108-Q735,Western Digital Disco duro externo Ultra Q735 2 TB,"Disco duro externo Western Digital, modelo Q735, versión 2 TB, acabado negro; característica principal: portátil. Producto para uso doméstico, académico o profesional según la categoría.",180,20,1,09/11/2023 17:15,22/06/2025 11:52
109,ALM-SAN-00109-L341,SanDisk Tarjeta microSD Ultra L341 64 GB,"Tarjeta microSD SanDisk, modelo L341, versión 64 GB, acabado gris; característica principal: UHS-I. Producto para uso doméstico, académico o profesional según la categoría.",309.9,4,1,20/07/2022 14:57,04/02/2024 00:57
